N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,72100.0,700.0,-0.96%,100.0,72300.0,72400.0,71700.0
2.0,SK하이닉스,159400.0,4900.0,-2.98%,5000.0,161700.0,161800.0,157600.0
3.0,LG에너지솔루션,405500.0,2000.0,-0.49%,500.0,412000.0,412000.0,402000.0
4.0,삼성바이오로직스,847000.0,12000.0,-1.40%,2500.0,860000.0,861000.0,845000.0
5.0,삼성전자우,61500.0,900.0,-1.44%,100.0,62200.0,62400.0,61200.0
6.0,현대차,238000.0,4500.0,-1.86%,5000.0,241000.0,244000.0,236000.0
7.0,기아,118900.0,9100.0,-7.11%,5000.0,123200.0,123600.0,118200.0
8.0,셀트리온,184600.0,2100.0,+1.15%,1000.0,181000.0,184700.0,180500.0
9.0,POSCO홀딩스,431000.0,8500.0,-1.93%,5000.0,440500.0,441500.0,423000.0
10.0,LG화학,436500.0,3500.0,-0.80%,5000.0,440500.0,440500.0,431000.0
11.0,삼성SDI,446000.0,2000.0,+0.45%,5000.0,451500.0,454500.0,438500.0
12.0,NAVER,182200.0,1900.0,-1.03%,100.0,183200.0,183800.0,182100.0
13.0,KB금융,73200.0,1200.0,-1.61%,5000.0,73300.0,74100.0,72400.0
14.0,삼성물산,150500.0,1700.0,-1.12%,100.0,152200.0,152800.0,149800.0
15.0,포스코퓨처엠,322000.0,0.0,0.00%,500.0,325500.0,326500.0,315500.0
16.0,신한지주,48250.0,700.0,-1.43%,5000.0,48150.0,48500.0,47650.0
17.0,현대모비스,257000.0,11000.0,-4.10%,5000.0,265000.0,265500.0,256500.0
18.0,카카오,51900.0,1100.0,-2.08%,100.0,52700.0,52800.0,51700.0
19.0,삼성생명,93700.0,3500.0,-3.60%,500.0,95500.0,97800.0,93300.0
20.0,하나금융지주,62000.0,0.0,0.00%,5000.0,61300.0,62800.0,60400.0
21.0,메리츠금융지주,80700.0,1700.0,-2.06%,500.0,81600.0,82300.0,80500.0
22.0,LG전자,95900.0,200.0,-0.21%,5000.0,96000.0,96700.0,94900.0
