N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,74100.0,800.0,+1.09%,100.0,73700.0,74100.0,73500.0
2.0,SK하이닉스,163600.0,2100.0,-1.27%,5000.0,168600.0,169700.0,162000.0
3.0,LG에너지솔루션,418500.0,1000.0,-0.24%,500.0,419500.0,422000.0,415000.0
4.0,삼성바이오로직스,828000.0,12000.0,-1.43%,2500.0,842000.0,848000.0,819000.0
5.0,현대차,248500.0,7000.0,+2.90%,5000.0,243500.0,250000.0,241000.0
6.0,삼성전자우,63300.0,500.0,+0.80%,100.0,63000.0,63300.0,62900.0
7.0,기아,125900.0,200.0,-0.16%,5000.0,125900.0,127300.0,124500.0
8.0,셀트리온,178800.0,2900.0,-1.60%,1000.0,181800.0,182000.0,177700.0
9.0,POSCO홀딩스,448000.0,2000.0,-0.44%,5000.0,449000.0,452500.0,444000.0
10.0,LG화학,450000.0,500.0,-0.11%,5000.0,452000.0,471000.0,449000.0
11.0,삼성SDI,459500.0,0.0,0.00%,5000.0,453500.0,468500.0,447000.0
12.0,KB금융,77500.0,4300.0,+5.87%,5000.0,73900.0,78500.0,73500.0
13.0,삼성물산,165700.0,2700.0,+1.66%,100.0,163100.0,167000.0,161000.0
14.0,NAVER,188400.0,2100.0,-1.10%,100.0,191100.0,191200.0,188300.0
15.0,포스코퓨처엠,334500.0,1500.0,-0.45%,500.0,339500.0,341000.0,332500.0
16.0,신한지주,47600.0,2100.0,+4.62%,5000.0,45500.0,47600.0,45450.0
17.0,카카오,54600.0,1200.0,-2.15%,100.0,55900.0,56000.0,54100.0
18.0,현대모비스,253500.0,3000.0,+1.20%,5000.0,252500.0,254500.0,249000.0
19.0,삼성생명,99300.0,1800.0,+1.85%,500.0,97400.0,100900.0,96700.0
20.0,하나금융지주,60800.0,1300.0,+2.18%,5000.0,59400.0,63000.0,59300.0
21.0,메리츠금융지주,82500.0,1200.0,+1.48%,500.0,81500.0,83100.0,80500.0
22.0,LG전자,97600.0,200.0,-0.20%,5000.0,98700.0,99000.0,97200.0
23.0,LG,99800.0,4500.0,+4.72%,5000.0,96700.0,100400.0,96000.0
24.0,한국전력,24000.0,250.0,+1.05%,5000.0,23850.0,24200.0,23350.0
25.0,삼성화재,309500.0,2500.0,+0.81%,500.0,309000.0,314000.0,306500.0
26.0,카카오뱅크,29100.0,200.0,+0.69%,5000.0,29150.0,29300.0,28750.0
